body_part,avg_mean,avg_median,avg_std_dev,std_of_means,min_model,min_value,max_model,max_value
overall,0.030531471098095626,0.020987878940047614,0.031226610739979337,0.0118288952125298,00185,0.01853326015998418,00129,0.08590471301067465
Legs,0.021882071894375726,0.019181810682827215,0.014390530019186729,0.009198471079877124,00137,0.013140964660941138,00167,0.05414014545175118
Bottom-Half Clothes,0.02190931874321661,0.018714444007749725,0.0162258777768058,0.00713394293816717,00137,0.01153448591752315,00129,0.05197555567152281
Shoes,0.04504221907069609,0.036819026777584085,0.03444588788097296,0.014089996094562096,00190,0.01864084266026253,00175,0.07947395511795902
Top-Half Clothes,0.02284294111768596,0.01865922324067386,0.018179290793322773,0.007446835914977924,00185,0.01227505253555036,00129,0.04786531732169452
Hands,0.02166154675350401,0.021562983891488457,0.011669349990319041,0.023593032728584724,00156,0.006703809437656284,00129,0.1332602033585955
Hair,0.024031483434156224,0.021894336990629017,0.015069134901150867,0.020067699574088795,00156,0.011745814533229147,00129,0.12340778641023653
Head,0.053199997197758274,0.04257464434597595,0.04417060290491441,0.027828820101846993,00185,0.02000001172303723,00129,0.1429941892906787
