body_part,avg_mean,avg_median,avg_std_dev,std_of_means,min_model,min_value,max_model,max_value
overall,0.029636192183266224,0.020459513988753477,0.030587951093970462,0.00561527723622762,00180,0.02008254835521162,00170,0.041731115864215934
Legs,0.01992967931969891,0.016843298875653268,0.014540372763754335,0.006311384613409894,00122,0.011363611915336656,00167,0.03690272497724516
Bottom-Half Clothes,0.021566594958595132,0.018195794437154546,0.016073326538271662,0.005937759169674915,00122,0.014088534718040899,00152,0.040177658208489356
Shoes,0.048949451190097394,0.04216884811856972,0.03560521065791154,0.015698287918976872,00190,0.021303074142256725,00140,0.08036133290632652
Top-Half Clothes,0.024447646541086825,0.019521882611648906,0.02014747168587265,0.006200864028036677,00180,0.015255943912135056,00170,0.0459959818387552
Hands,0.018229451499959894,0.0172363203408997,0.011392711821615185,0.007720996152212474,00167,0.00721537498689438,00134,0.03515641647816007
Hair,0.021596514071066997,0.019557544103952197,0.014983833546671474,0.008968324763022225,00169,0.009537708994957324,00152,0.04519145277294491
Head,0.06191226282221511,0.05278863999117234,0.04590275599652027,0.024173181139005566,00168,0.018055332487694385,00188,0.1078228633225921
