model_id,body_part,color,chamfer_distance
00185,Legs,"0.0,0.8,0.8",0.023387332617427502
00185,Head,"1.0,0.5,0.0",0.03056749941389387
00137,overall,NA,0.029977391694319434
00137,Hands,"1.0,0.0,0.0",0.18297303870371684
00137,Top-Half Clothes,"1.0,1.0,0.0",0.029588152961435556
00137,Shoes,"0.0,0.0,1.0",0.031077890202044434
00137,Legs,"0.0,0.8,0.8",0.024003959071897184
00137,Bottom-Half Clothes,"1.0,0.0,1.0",0.021921678977566764
00137,Hair,"0.0,1.0,0.0",0.03352554603432704
00137,Head,"1.0,0.5,0.0",0.03459573468227467
00129,overall,NA,0.032852003768483434
00129,Hands,"1.0,0.0,0.0",0.15278938821831606
00129,Top-Half Clothes,"1.0,1.0,0.0",0.029899393558014124
00129,Shoes,"0.0,0.0,1.0",0.06751481357345068
00129,Legs,"0.0,0.8,0.8",0.05392502469425909
00129,Bottom-Half Clothes,"1.0,0.0,1.0",0.03398199133996883
00129,Head,"1.0,0.5,0.0",0.03159296393228708
00129,Hair,"0.0,1.0,0.0",0.04402126254572304
00180,overall,NA,0.020514940768857064
00180,Top-Half Clothes,"1.0,1.0,0.0",0.018737944708441336
00180,Bottom-Half Clothes,"1.0,0.0,1.0",0.024034626888647243
00180,Shoes,"0.0,0.0,1.0",0.033704051546531194
00180,Hands,"1.0,0.0,0.0",0.12408357013959853
00180,Hair,"0.0,1.0,0.0",0.02084269601246156
00180,Head,"1.0,0.5,0.0",0.02058168583738488
00122,overall,NA,0.02646197393341711
00122,Hands,"1.0,0.0,0.0",0.13156003001860622
00122,Top-Half Clothes,"1.0,1.0,0.0",0.02664679181346655
00122,Shoes,"0.0,0.0,1.0",0.02676748512835546
00122,Legs,"0.0,0.8,0.8",0.016339446852247905
00122,Bottom-Half Clothes,"1.0,0.0,1.0",0.017685172240443595
00122,Head,"1.0,0.5,0.0",0.014568724429533608
00122,Hair,"0.0,1.0,0.0",0.022667760266615357
00148,overall,NA,0.02824293946924882
00148,Top-Half Clothes,"1.0,1.0,0.0",0.02854401778624309
00148,Hands,"1.0,0.0,0.0",0.14175025105021485
00148,Shoes,"0.0,0.0,1.0",0.047987314342332985
00148,Legs,"0.0,0.8,0.8",0.03531344254313544
00148,Hair,"0.0,1.0,0.0",0.02198211826171713
00148,Head,"1.0,0.5,0.0",0.01842568052944614
00156,overall,NA,0.030194395401316652
00156,Hands,"1.0,0.0,0.0",0.16363524900454848
00156,Top-Half Clothes,"1.0,1.0,0.0",0.03182442924588301
00156,Shoes,"0.0,0.0,1.0",0.038432645137584265
00156,Bottom-Half Clothes,"1.0,0.0,1.0",0.03598300664907808
00156,Legs,"0.0,0.8,0.8",0.024728808973197
00156,Head,"1.0,0.5,0.0",0.015596156052005001
00156,Hair,"0.0,1.0,0.0",0.029910712187826066
00152,overall,NA,0.03350432864363758
00152,Hands,"1.0,0.0,0.0",0.12466701689777708
00152,Top-Half Clothes,"1.0,1.0,0.0",0.034547162019029194
00152,Shoes,"0.0,0.0,1.0",0.038289434519766206
00152,Legs,"0.0,0.8,0.8",0.027532887614078086
00152,Hair,"0.0,1.0,0.0",0.042549510635252266
00152,Head,"1.0,0.5,0.0",0.03477434878132091
00152,Bottom-Half Clothes,"1.0,0.0,1.0",0.03548114347816654
