model_id,body_part,color,min,max,mean,median,std_dev,vertex_count
00122,overall,NA,3.252187224432917e-06,0.15889833472313813,0.03744768386169514,0.027640246707608385,0.03201600165330887,NA
00122,Head,"1.0,0.0,0.0",3.407413712925822e-06,0.15889833472313813,0.057483031385664324,0.05629659921227101,0.035763959237570975,NA
00122,Top-Half Clothes,"1.0,1.0,0.0",7.76850487406355e-06,0.14468567952779143,0.023356544217781883,0.01757888510099689,0.021835891885880004,NA
00122,Shoes,"0.0,0.0,1.0",8.343620755941573e-06,0.15664419258852427,0.05039910903030112,0.03672818003467911,0.04017276157214668,NA
00122,Legs,"0.0,0.8,0.8",3.252187224432917e-06,0.06545025567346624,0.021901450051324805,0.019330634264204276,0.014843717818669574,NA
00122,Bottom-Half Clothes,"1.0,0.0,1.0",4.0417893021938515e-06,0.06585116893710398,0.01754186706284149,0.014202297071852174,0.013999423661905472,NA
00122,Hands,"1.0,0.5,0.0",4.043599670862989e-06,0.12024770634118805,0.05677968975677369,0.05840707841208115,0.028654008474907847,NA
00122,Hair,"0.0,1.0,0.0",2.0988612270668074e-05,0.08873833979382598,0.03305232768478247,0.029152853008219966,0.02146735414692775,NA
00127,overall,NA,2.2394218828696658e-07,0.2939126394211924,0.041692436169018326,0.018615982158162753,0.06004482707339832,NA
00127,Head,"1.0,0.0,0.0",9.145448261643432e-07,0.2939126394211924,0.12125845880672054,0.16699981955015047,0.10462073410383185,NA
00127,Top-Half Clothes,"1.0,1.0,0.0",3.5307671506310594e-07,0.17334548239077607,0.0324143169258328,0.020636721109021705,0.035329621143868825,NA
00127,Shoes,"0.0,0.0,1.0",1.789824454724149e-05,0.1579228339392945,0.050924295661264586,0.036433205718395076,0.041665248604768716,NA
00127,Legs,"0.0,0.8,0.8",1.0413667646233904e-05,0.06695657739456627,0.017053669776259255,0.013157387233877813,0.014073469195720046,NA
00127,Bottom-Half Clothes,"1.0,0.0,1.0",2.0451507754821017e-06,0.07083898573297415,0.018096272476028345,0.013108652529781786,0.015289185586125471,NA
00127,Hair,"0.0,1.0,0.0",2.606668822901783e-05,0.0473822117200099,0.016877202279885935,0.014425859534354641,0.010709000196243651,NA
00127,Hands,"1.0,0.5,0.0",2.2394218828696658e-07,0.04041197481353939,0.014469574416123747,0.014745197181565299,0.007919112346393812,NA
00129,overall,NA,6.032418776081981e-07,0.3443842729597282,0.08590471301067465,0.06473311998385282,0.07495778495183411,NA
00129,Head,"1.0,0.0,0.0",1.6912896605500395e-05,0.3443842729597282,0.1429941892906787,0.12911553823610122,0.08557532490520862,NA
00129,Shoes,"0.0,0.0,1.0",1.745147738958961e-05,0.06878005198882038,0.024781725841278045,0.01776881513094221,0.0200607995359345,NA
00129,Legs,"0.0,0.8,0.8",6.032418776081981e-07,0.0925954886081735,0.027592547382689087,0.023238905140712696,0.020700448186289175,NA
00129,Bottom-Half Clothes,"1.0,0.0,1.0",5.8824105827893125e-05,0.12807224786085247,0.05197555567152281,0.049229638981265235,0.03268486480034403,NA
00129,Top-Half Clothes,"1.0,1.0,0.0",2.092084488334624e-05,0.14672352675417627,0.04786531732169452,0.04253357562145835,0.033619857909027835,NA
00129,Hands,"1.0,0.5,0.0",0.0347513889476137,0.2111968601137254,0.1332602033585955,0.13996711791831756,0.04451584770161708,NA
00129,Hair,"0.0,1.0,0.0",0.034863860958672714,0.21788090869118543,0.12340778641023653,0.11381729721678026,0.050044758936004095,NA
00134,overall,NA,4.946262885109863e-07,0.18247496394132565,0.0401978254985283,0.03164328330585103,0.03468930710189392,NA
00134,Head,"1.0,0.0,0.0",5.424904695335061e-06,0.18247496394132565,0.056002619677900566,0.035005469816044535,0.050362472949007565,NA
00134,Top-Half Clothes,"1.0,1.0,0.0",4.940708519431307e-06,0.1325438728453995,0.03721188212524825,0.031100825691111774,0.03020479540892071,NA
00134,Shoes,"0.0,0.0,1.0",2.2512281783575556e-06,0.1583243492393261,0.04884895717917068,0.044467682562685885,0.03650630134759442,NA
00134,Legs,"0.0,0.8,0.8",2.2871710157550785e-05,0.105039497638463,0.03045864880014842,0.024978811921242527,0.023344518198633528,NA
00134,Bottom-Half Clothes,"1.0,0.0,1.0",4.946262885109863e-07,0.07559065405634835,0.027919454857354496,0.025443618326832267,0.01807385205309076,NA
00134,Hands,"1.0,0.5,0.0",1.0876176044337398e-05,0.07973075395700199,0.03356659138999825,0.037321108479011794,0.016473644772451595,NA
00134,Hair,"0.0,1.0,0.0",0.00018530105706875979,0.07647258906757752,0.034825962681226265,0.03684962653819176,0.018171181453123075,NA
00135,overall,NA,8.894209623817668e-07,0.17680821064871158,0.02872786088586057,0.01824032384181764,0.03250297834779332,NA
00135,Head,"1.0,0.0,0.0",6.393042510714535e-06,0.17680821064871158,0.053163664366901474,0.03286792887816712,0.049462947562193195,NA
00135,Top-Half Clothes,"1.0,1.0,0.0",8.894209623817668e-07,0.08883736781854888,0.020592648746761047,0.016342745383338284,0.017695716249684953,NA
00135,Shoes,"0.0,0.0,1.0",7.743688204916069e-05,0.1278511398356087,0.042650946106634564,0.03262638185107727,0.034741784325852086,NA
00135,Legs,"0.0,0.8,0.8",4.427627800574634e-06,0.061084265255817685,0.017156297654401787,0.012249588756334128,0.014222045060411116,NA
00135,Bottom-Half Clothes,"1.0,0.0,1.0",3.3027387335543665e-06,0.058384431138324595,0.01814837602878514,0.014713682150684138,0.013262186465626356,NA
00135,Hair,"0.0,1.0,0.0",9.307772969218933e-06,0.06045222608069469,0.020789302474991063,0.016149666035116503,0.015245828180797248,NA
00135,Hands,"1.0,0.5,0.0",6.6485113028663195e-06,0.03344325700550709,0.014597814661029421,0.015427583604112042,0.007319234908639324,NA
