body_part,avg_distance,std_dev,min_model,min_value,max_model,max_value
overall,0.028662527858262024,0.004606200420107564,00180,0.020514940768857064,00170,0.03906168519900782
Legs,0.026970075320716404,0.008293525830919427,00122,0.016339446852247905,00129,0.05392502469425909
Bottom-Half Clothes,0.027387718312676026,0.007635073331389126,00122,0.017685172240443595,00170,0.04743128760071338
Shoes,0.04144050260808858,0.012036574774904836,00190,0.02297228829619543,00140,0.07352734386513364
Top-Half Clothes,0.028375524214786993,0.005397475838436654,00180,0.018737944708441336,00170,0.04517617441293739
Head,0.023304188428108955,0.006402228438703198,00169,0.013248299498060567,00134,0.03921380884667549
Hair,0.027491772896863366,0.007638203471907365,00136,0.015382699539586776,00129,0.04402126254572304
Hands,0.15023612946873285,0.029645935496578672,00168,0.0688896865082481,00151,0.1994635109434044
