model_id,body_part,color,min,max,mean,median,std_dev,vertex_count
00176,Bottom-Half Clothes,"1.0,0.0,1.0",1.1266270693264171e-07,0.06748235766023053,0.016125491934571596,0.014024823908235088,0.011883750607454125,NA
00176,Shoes,"0.0,0.0,1.0",0.00011886291848799126,0.1162986130837022,0.05545754291848805,0.055966268356335905,0.032375115938330715,NA
00176,Hair,"0.0,1.0,0.0",2.368356048260506e-05,0.06465827505014261,0.017002116288317107,0.010852360116382765,0.015681747459783485,NA
00176,Hands,"1.0,0.5,0.0",9.845838477325834e-06,0.0335790495172355,0.009870266393827291,0.008823027114574437,0.007051079435014158,NA
00179,overall,NA,1.2742251934689981e-06,0.14586714230531037,0.022754664232065815,0.017381497219966145,0.02008272491441595,NA
00179,Top-Half Clothes,"1.0,1.0,0.0",2.3682647544410552e-06,0.1116177082346194,0.021963394739039438,0.017643552148448573,0.018010957987427658,NA
00179,Head,"1.0,0.0,0.0",6.497648922704647e-06,0.09525715859617633,0.03352030401709986,0.027891418910163272,0.02540652449172239,NA
00179,Bottom-Half Clothes,"1.0,0.0,1.0",1.2742251934689981e-06,0.07358088317845016,0.01419840829717411,0.011061046896653833,0.011705712341350502,NA
00179,Shoes,"0.0,0.0,1.0",1.4748565060920206e-05,0.14586714230531037,0.035400757529704126,0.023697141382470324,0.03254424054350908,NA
00179,Legs,"0.0,0.8,0.8",7.611927321559717e-06,0.05678327967707214,0.015922313818599276,0.013258741578532197,0.012547014014038307,NA
00179,Hair,"0.0,1.0,0.0",1.0531811103128311e-05,0.04809732162685974,0.017962443199579455,0.016682336534902486,0.010995256849119348,NA
00179,Hands,"1.0,0.5,0.0",2.072654238830005e-05,0.04571661135614086,0.018630808078457718,0.01706844256288936,0.011968369668203914,NA
00180,overall,NA,8.286087957483936e-07,0.12956631734706264,0.02008254835521162,0.016443222384765022,0.016586849262677877,NA
00180,Top-Half Clothes,"1.0,1.0,0.0",1.146252207897965e-06,0.0659159372868105,0.015255943912135056,0.012670838917991254,0.012011810061121517,NA
00180,Bottom-Half Clothes,"1.0,0.0,1.0",8.286087957483936e-07,0.05869195331771016,0.02185897857075061,0.02105219735654559,0.013069865765696109,NA
00180,Shoes,"0.0,0.0,1.0",9.843667492277107e-06,0.12956631734706264,0.04611174198316854,0.03789448272048908,0.034215467051958624,NA
00180,Head,"1.0,0.0,0.0",2.448012759667815e-06,0.07740324560164143,0.027971164342064998,0.02772458352927711,0.01838471844057737,NA
00180,Hair,"0.0,1.0,0.0",7.810923986420568e-06,0.04135540527901255,0.013925699500641821,0.01231882009049807,0.00925672770562,NA
00180,Hands,"1.0,0.5,0.0",4.373081682051229e-05,0.03591687739896577,0.01525474304385007,0.015310417913740222,0.008946646139213681,NA
00185,overall,NA,4.568301806066451e-07,0.16399939942549835,0.0316966809160605,0.025088000650037346,0.02773534000631964,NA
00185,Head,"1.0,0.0,0.0",6.571936386148057e-06,0.16399939942549835,0.05610269646847184,0.04838592542623179,0.044962957957700306,NA
00185,Top-Half Clothes,"1.0,1.0,0.0",4.568301806066451e-07,0.08753417996542172,0.024779778034263705,0.021967508427255717,0.01741756832594827,NA
00185,Hair,"0.0,1.0,0.0",1.7122400371226904e-05,0.12218428277891315,0.0339457484912983,0.027555822258950483,0.026840332813739893,NA
00185,Bottom-Half Clothes,"1.0,0.0,1.0",5.040208574670212e-06,0.11146686344691632,0.03297555275793822,0.027047265603162125,0.02611234079871874,NA
00185,Shoes,"0.0,0.0,1.0",5.243898982012624e-05,0.13292325582507733,0.04111631796351016,0.033230538872613534,0.03173550738929555,NA
00185,Legs,"0.0,0.8,0.8",3.293529299822944e-05,0.05213251011613944,0.015884771895011834,0.01355884247052256,0.011205034382659528,NA
00185,Hands,"1.0,0.5,0.0",5.691143295051222e-06,0.060864201716031074,0.02562447338462044,0.025167429200463824,0.016932841771443562,NA
00187,overall,NA,1.9238603382327441e-07,0.17694747183297072,0.030371143311209783,0.022009944593824073,0.029029905638076496,NA
00187,Head,"1.0,0.0,0.0",1.4078750088517245e-06,0.17694747183297072,0.06216629976292684,0.040950308815983244,0.05347069855835786,NA
00187,Top-Half Clothes,"1.0,1.0,0.0",1.9238603382327441e-07,0.1351618868903442,0.028820071356932337,0.022360812509435734,0.024671515385817636,NA
00187,Legs,"0.0,0.8,0.8",3.7681088808016337e-06,0.04888284420106564,0.01683657451284177,0.014241185887302719,0.012254638692427098,NA
00187,Hair,"0.0,1.0,0.0",1.3609754239204822e-05,0.11193706505797704,0.02698416943578432,0.01995075990748685,0.025204758535102248,NA
00187,Shoes,"0.0,0.0,1.0",5.0445452999925835e-06,0.11466404818801464,0.03181337248986452,0.025467221929931564,0.027268883800082147,NA
00187,Hands,"1.0,0.5,0.0",8.875807686906885e-07,0.057750795845334796,0.022350011106846448,0.020320729397898515,0.014836885482688732,NA
00188,overall,NA,3.593761054935196e-07,0.26134758796285895,0.041338301748432185,0.02441420702481827,0.049795089965682056,NA
00188,Head,"1.0,0.0,0.0",2.1984362872325997e-05,0.26134758796285895,0.1078228633225921,0.1231548375162662,0.08755015968405568,NA
00188,Top-Half Clothes,"1.0,1.0,0.0",3.593761054935196e-07,0.14940040892981815,0.031836722821753746,0.02219313937810596,0.031224729736205593,NA
00188,Shoes,"0.0,0.0,1.0",0.0001736554055579892,0.15673813700323183,0.06839696083945536,0.07229724767451301,0.041268831070008435,NA
00188,Bottom-Half Clothes,"1.0,0.0,1.0",1.321563682370802e-06,0.09471130142262738,0.020475983319673374,0.016009799024841308,0.017294645718644783,NA
00188,Hair,"0.0,1.0,0.0",8.972062848664374e-06,0.07644342810951872,0.03032521493087222,0.026462967459547505,0.02013125920395873,NA
00188,Hands,"1.0,0.5,0.0",4.3151805758742356e-05,0.061036738912633975,0.028792551856044565,0.028498142340577622,0.015419537980328834,NA
00190,overall,NA,1.1548930893291754e-06,0.1138110368268461,0.0229483058070393,0.017644757285126524,0.01958753887653311,NA
00190,Head,"1.0,0.0,0.0",4.778255195464502e-05,0.1138110368268461,0.049270220729176785,0.043257530199964714,0.03180567614936163,NA
00190,Top-Half Clothes,"1.0,1.0,0.0",2.1910028154965667e-06,0.09831820482160769,0.020381242923354418,0.015640274734694797,0.017316682465560573,NA
