body_part,avg_distance,std_dev,min_model,min_value,max_model,max_value
overall,0.029747510490082032,0.009051488116623235,00185,0.018928198618204613,00129,0.0711228000814714
Legs,0.026111696169746804,0.00641917826049202,00137,0.016701995652862754,00167,0.04184342339642816
Bottom-Half Clothes,0.02433446544182345,0.005908986428720369,00137,0.016445017380635828,00129,0.04800526833031052
Shoes,0.04523241439793246,0.029722672230155758,00190,0.018702706672062988,00154,0.15817872659900553
Top-Half Clothes,0.027290957898866038,0.005832337649570122,00167,0.017771409452120034,00129,0.042077982084300046
Head,0.02609814912461132,0.016640116446818978,00163,0.014759755727092736,00129,0.10483978011981629
Hair,0.028809633928540766,0.017154097681021066,00160,0.01726973776393325,00129,0.11626185723788343
Hands,0.10585070955765946,0.04049274573793922,00156,0.052779750708084966,00127,0.2185845360601943
